Grid
(160,12)
Player
(50,665)
UpperDirtBlock
149
(10,0)
(10,1)
(10,2)
(10,3)
(10,4)
(10,5)
(10,6)
(10,7)
(10,8)
(10,9)
(10,10)
(10,11)
(10,12)
(10,13)
(10,14)
(10,15)
(10,16)
(10,17)
(10,18)
(10,19)
(10,20)
(10,21)
(10,22)
(10,23)
(10,24)
(10,25)
(10,26)
(10,27)
(10,28)
(10,29)
(10,30)
(10,31)
(10,32)
(10,33)
(10,34)
(10,35)
(10,36)
(10,37)
(10,38)
(10,39)
(10,40)
(10,41)
(10,42)
(10,46)
(10,47)
(10,48)
(10,49)
(10,50)
(10,51)
(10,52)
(10,53)
(10,54)
(10,55)
(10,56)
(10,57)
(10,61)
(10,62)
(10,63)
(10,64)
(10,65)
(10,66)
(10,67)
(10,68)
(10,69)
(10,70)
(10,71)
(10,72)
(10,73)
(10,74)
(10,75)
(10,76)
(10,77)
(10,78)
(10,79)
(10,80)
(10,81)
(10,82)
(10,83)
(10,84)
(10,85)
(10,86)
(10,87)
(10,88)
(10,89)
(10,90)
(10,91)
(10,92)
(10,93)
(10,97)
(10,98)
(10,99)
(10,100)
(10,101)
(10,102)
(10,103)
(10,105)
(10,106)
(10,107)
(10,108)
(10,109)
(10,110)
(10,111)
(10,112)
(10,113)
(10,114)
(10,115)
(10,116)
(10,117)
(10,118)
(10,119)
(10,120)
(10,121)
(10,122)
(10,123)
(10,124)
(10,125)
(10,126)
(10,127)
(10,128)
(10,129)
(10,130)
(10,131)
(10,132)
(10,133)
(10,134)
(10,135)
(10,136)
(10,137)
(10,138)
(10,139)
(10,140)
(10,141)
(10,142)
(10,143)
(10,144)
(10,145)
(10,146)
(10,147)
(10,148)
(10,149)
(10,150)
(10,151)
(10,152)
(10,153)
(10,154)
(10,155)
(10,156)
(10,158)
(10,159)
LowerDirtBlock
149
(11,0)
(11,1)
(11,2)
(11,3)
(11,4)
(11,5)
(11,6)
(11,7)
(11,8)
(11,9)
(11,10)
(11,11)
(11,12)
(11,13)
(11,14)
(11,15)
(11,16)
(11,17)
(11,18)
(11,19)
(11,20)
(11,21)
(11,22)
(11,23)
(11,24)
(11,25)
(11,26)
(11,27)
(11,28)
(11,29)
(11,30)
(11,31)
(11,32)
(11,33)
(11,34)
(11,35)
(11,36)
(11,37)
(11,38)
(11,39)
(11,40)
(11,41)
(11,42)
(11,46)
(11,47)
(11,48)
(11,49)
(11,50)
(11,51)
(11,52)
(11,53)
(11,54)
(11,55)
(11,56)
(11,57)
(11,61)
(11,62)
(11,63)
(11,64)
(11,65)
(11,66)
(11,67)
(11,68)
(11,69)
(11,70)
(11,71)
(11,72)
(11,73)
(11,74)
(11,75)
(11,76)
(11,77)
(11,78)
(11,79)
(11,80)
(11,81)
(11,82)
(11,83)
(11,84)
(11,85)
(11,86)
(11,87)
(11,88)
(11,89)
(11,90)
(11,91)
(11,92)
(11,93)
(11,97)
(11,98)
(11,99)
(11,100)
(11,101)
(11,102)
(11,103)
(11,105)
(11,106)
(11,107)
(11,108)
(11,109)
(11,110)
(11,111)
(11,112)
(11,113)
(11,114)
(11,115)
(11,116)
(11,117)
(11,118)
(11,119)
(11,120)
(11,121)
(11,122)
(11,123)
(11,124)
(11,125)
(11,126)
(11,127)
(11,128)
(11,129)
(11,130)
(11,131)
(11,132)
(11,133)
(11,134)
(11,135)
(11,136)
(11,137)
(11,138)
(11,139)
(11,140)
(11,141)
(11,142)
(11,143)
(11,144)
(11,145)
(11,146)
(11,147)
(11,148)
(11,149)
(11,150)
(11,151)
(11,152)
(11,153)
(11,154)
(11,155)
(11,156)
(11,158)
(11,159)
BrickBlock
19
(6,15)
(6,17)
(6,19)
(6,49)
(6,51)
(3,52)
(3,53)
(3,54)
(3,55)
(3,56)
(3,60)
(3,61)
(3,62)
(6,63)
(6,69)
(6,70)
(6,109)
(6,110)
(6,112)
BoxyBlock
40
(9,91)
(9,92)
(8,92)
(9,93)
(8,93)
(7,93)
(9,97)
(8,97)
(7,97)
(9,98)
(8,98)
(9,118)
(8,118)
(9,119)
(8,119)
(9,120)
(8,120)
(7,120)
(9,121)
(8,121)
(7,121)
(6,121)
(9,122)
(8,122)
(7,122)
(6,122)
(5,122)
(9,123)
(8,123)
(7,123)
(6,123)
(5,123)
(4,123)
(9,124)
(8,124)
(7,124)
(6,124)
(5,124)
(4,124)
(9,134)
HiddenBlock
9
(7,16)
(6,43)
(3,98)
(7,99)
(7,100)
(7,101)
(7,102)
(7,103)
(7,104)
MysteryBlock
12
(5,11)
(6,16)
(2,17)
(6,18)
(6,50)
(6,77)
(6,80)
(2,80)
(6,83)
(6,111)
(6,129)
(6,151)
CommonEnemy
12
(1200,682) 100 true
(1500,682) 200 true
(1950,682) 1450 false
(3694,682) 2994 true
(3825,382) 3125 true
(4125,157) 3425 true
(8138,682) 7438 true
(8550,682) 7850 true
(9000,0) 9000 true
(9075,0) 9000 true
(9150,0) 9000 true
(9225,0) 9000 true
SoldierEnemy
2
(5723,655) 5023 true
(6243,655) 5743 false
KingEnemy
2
(5585,667) 4985 false
(6390,667) 5690 true
RedMushroomEnemy
2
(6039,675) 5339 true
(8402,675) 7702 false
PurpleMushroomEnemy
2
(2289,675) 1589 true
(5865,675) 5165 false
Hill
3
(540,592)
(2715,592)
(10950,592)
Tree
4
(1950,625)
(5035,625)
(9525,625)
(10360,625)
Grass
6
(150,690)
(2237,690)
(3675,690)
(6150,690)
(9662,690)
(11475,690)
Cloud
7
(363,300)
(841,150)
(1937,75)
(5388,75)
(6350,150)
(8538,250)
(10875,375)
Fish
7
(1764,530) 1739 true
(3975,-77) 3875 false
(4425,-77) 4325 false
(5439,602) 5414 true
(6001,-77) 5901 false
(6564,602) 6539 true
(10425,-77) 10325 false
Laser
1
(9675,150) 9425 true
HighTube
1
(2400,460)
MiddleTube
3
(1723,530)
(7875,530)
(8698,600)
LowTube
2
(5400,602)
(6522,602)
CheckpointFlag
2
(5210,300)
(8721,450)
EndFlag
1
(10060,75)
House
1
(10550,532)
